"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"42001","Adams County, PA","365","169","177","17","2",".","195","90","52",".",".","148",".","217","."
"42003","Allegheny County, PA","365","70","212","62","19","2","218","130","67",".","7","46","130","179","3"
"42005","Armstrong County, PA","212","142","54","12","3","1","208","97","43.5",".",".","212",".",".","."
"42007","Beaver County, PA","365","92","171","93","7","2","217","119","75",".","12","86","234","33","."
"42011","Berks County, PA","365","226","102","35","1","1","201","101","45",".","79","115","94","74","3"
"42013","Blair County, PA","365","274","79","9","3",".","197","64","40",".","74","178","98",".","15"
"42017","Bucks County, PA","365","241","94","23","5","2","205","94","43",".","80","165","52","64","4"
"42021","Cambria County, PA","365","230","117","16","2",".","190","81","44","1","54","118","103","80","9"
"42027","Centre County, PA","365","173","172","16","2","2","202","84","53",".","2","147","18","198","."
"42029","Chester County, PA","263","134","103","23","1","2","207","99","50",".",".","178",".","85","."
"42033","Clearfield County, PA","187","132","46","5","4",".","192","84","44",".",".","187",".",".","."
"42041","Cumberland County, PA","349","161","173","14","1",".","157","84","53",".",".",".",".","349","."
"42043","Dauphin County, PA","365","144","193","25","2","1","203","95","57","1","28","66","10","259","1"
"42045","Delaware County, PA","364","224","112","25","1","2","203","90","45",".","101","128","53","76","6"
"42047","Elk County, PA","359","301","51","4","3",".","182","61","34",".",".","359",".",".","."
"42049","Erie County, PA","365","177","168","16","3","1","204","87","52","3","24","89","78","169","2"
"42055","Franklin County, PA","192","128","58","4","2",".","174","77","46",".",".","192",".",".","."
"42059","Greene County, PA","246","150","82","11","3",".","200","90","47","1",".","168","77",".","."
"42069","Lackawanna County, PA","365","206","149","8","2",".","172","78","45",".","29","103","8","225","."
"42071","Lancaster County, PA","365","228","112","21","2","2","217","90","43",".","81","146","47","85","6"
"42073","Lawrence County, PA","365","259","91","14",".","1","218","77","40",".","70","148","109",".","38"
"42077","Lehigh County, PA","365","170","169","22","3","1","202","92","53",".","35","99","45","185","1"
"42079","Luzerne County, PA","365","195","155","12","3",".","172","81","48","3","23","88","7","237","7"
"42081","Lycoming County, PA","365","295","55","11","4",".","187","70","34",".",".","197","157",".","11"
"42085","Mercer County, PA","365","179","168","13","4","1","210","85","51",".",".","127","24","214","."
"42091","Montgomery County, PA","365","265","86","11","2","1","202","83","40","3","111","142","34","70","5"
"42095","Northampton County, PA","365","147","188","26","2","2","203","93","57",".","11","90","45","201","18"
"42099","Perry County, PA","365","272","83","7","3",".","166","73","36",".","43","153","81","88","."
"42101","Philadelphia County, PA","365","143","183","34","5",".","197","101","56","1","45","88","14","217","."
"42107","Schuylkill County, PA","365","346","19",".",".",".","90","41","19","14",".",".","351",".","."
"42111","Somerset County, PA","335","298","32","5",".",".","136","54","33",".",".","335",".",".","."
"42117","Tioga County, PA","197","133","54","8","2",".","185","87","44",".",".","197",".",".","."
"42123","Warren County, PA","363","220","66","67","10",".","200","119","34",".",".",".","363",".","."
"42125","Washington County, PA","365","94","223","42","5","1","217","105","64",".","4","80","164","117","."
"42129","Westmoreland County, PA","365","221","130","10","3","1","205","77","44",".","49","123","95","88","10"
"42133","York County, PA","364","233","103","25","2","1","202","88","44","1","111","128","22","89","13"
