"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","360","306","48","6",".",".","121","59.5","21",".",".",".","360",".","."
"39003","Allen County, OH","361","294","55","11","1",".","159","71","32",".",".","204","135",".","22"
"39007","Ashtabula County, OH","364","278","44","31","11",".","200","108","37",".",".","210","154",".","."
"39009","Athens County, OH","114","63","50","1",".",".","114","73","45",".",".",".",".","113","1"
"39013","Belmont County, OH","363","223","97","38","5",".","188","105","37",".",".",".","343",".","20"
"39017","Butler County, OH","365","100","218","42","5",".","195","108","63",".",".","126","38","201","."
"39023","Clark County, OH","365","225","117","20","3",".","166","90","44",".",".","182","113","70","."
"39025","Clermont County, OH","365","238","98","26","3",".","164","93","43",".",".","178","187",".","."
"39027","Clinton County, OH","214","116","63","28","5","2","203","119","49",".",".","214",".",".","."
"39029","Columbiana County, OH","342","204","96","41","1",".","199","106","34",".",".",".","333",".","9"
"39033","Crawford County, OH","363","271","59","29","4",".","161","97","38",".",".","363",".",".","."
"39035","Cuyahoga County, OH","365","62","235","59","9",".","185","114","71",".","15","47","57","240","6"
"39041","Delaware County, OH","213","117","65","25","6",".","177","112","48",".",".","213",".",".","."
"39047","Fayette County, OH","363","279","66","17","1",".","174","80","38",".",".","363",".",".","."
"39049","Franklin County, OH","365","89","232","35","9",".","187","105","62",".",".","111","2","251","1"
"39053","Gallia County, OH","165","142","18","5",".",".","143","62","19",".",".",".","165",".","."
"39055","Geauga County, OH","214","119","54","20","21",".","192","147","47.5",".",".","214",".",".","."
"39057","Greene County, OH","237","147","74","14","2",".","161","97","46",".",".","211",".",".","26"
"39061","Hamilton County, OH","365","77","205","74","9",".","200","123","70",".","13","87","72","193","."
"39063","Hancock County, OH","55","55",".",".",".",".","38","32","23",".",".",".",".",".","55"
"39081","Jefferson County, OH","365","86","192","77","9","1","202","122","69","2",".","68","112","182","1"
"39083","Knox County, OH","214","128","56","23","7",".","179","112","48",".",".","214",".",".","."
"39085","Lake County, OH","365","185","125","47","8",".","190","112","50","6",".","133","169","57","."
"39087","Lawrence County, OH","365","196","130","37","2",".","174","101","48",".",".","166","123","75","1"
"39089","Licking County, OH","237","149","64","21","3",".","169","101","45",".",".","213",".",".","24"
"39093","Lorain County, OH","365","241","96","24","4",".","161","90","40",".",".","153","119","74","19"
"39095","Lucas County, OH","365","110","212","34","9",".","190","108","62",".",".","110","41","210","4"
"39097","Madison County, OH","214","124","64","23","3",".","192","108","48",".",".","214",".",".","."
"39099","Mahoning County, OH","365","121","199","40","4","1","202","108","58",".",".","80","47","238","."
"39103","Medina County, OH","214","129","57","21","7",".","195","112","45",".",".","214",".",".","."
"39105","Meigs County, OH","359","281","56","22",".",".","137","87","19",".",".",".","359",".","."
"39109","Miami County, OH","214","121","81","11","1",".","177","93","48",".",".","214",".",".","."
"39111","Monroe County, OH","59","57","2",".",".",".","54","43","24",".",".",".",".",".","59"
"39113","Montgomery County, OH","365","112","219","31","3",".","172","100","61","4",".","96","3","260","2"
"39115","Morgan County, OH","361","306","25","25","5",".","200","85","10",".",".",".","361",".","."
"39121","Noble County, OH","363","238","93","27","5",".","174","97","41",".",".","343",".","20","."
"39123","Ottawa County, OH","20","20",".",".",".",".","40","30.5","23.5",".",".",".",".",".","20"
"39133","Portage County, OH","263","137","93","23","10",".","195","108","49",".",".","183",".","80","."
"39135","Preble County, OH","255","157","83","15",".",".","136","84","46",".",".","176",".","79","."
"39143","Sandusky County, OH","20","20",".",".",".",".","36","32.5","21",".",".",".",".",".","20"
"39145","Scioto County, OH","362","244","103","13","2",".","158","80","37",".",".",".","213","106","43"
"39147","Seneca County, OH","174","170","4",".",".",".","56","35","18",".",".",".",".",".","174"
"39151","Stark County, OH","365","202","129","24","10",".","187","99","47","8",".","170","86","84","17"
"39153","Summit County, OH","365","73","201","78","12","1","203","115","72",".",".","74","130","161","."
"39155","Trumbull County, OH","359","124","190","32","13",".","190","112","57",".",".","121",".","237","1"
"39157","Tuscarawas County, OH","356","315","31","10",".",".","119","55","19",".",".",".","356",".","."
"39165","Warren County, OH","214","137","54","20","3",".","169","101","45",".",".","214",".",".","."
"39167","Washington County, OH","287","187","75","22","3",".","174","100","44",".",".","208",".",".","79"
"39173","Wood County, OH","214","149","40","18","7",".","169","108","44",".",".","214",".",".","."
"39175","Wyandot County, OH","168","164","4",".",".",".","58","36","20",".",".",".",".",".","168"
