"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","345","340","5",".",".",".","79","27","10",".",".",".","309",".","36"
"23003","Aroostook County, ME","365","323","39","2","1",".","156","54","34",".",".","296","26","20","23"
"23005","Cumberland County, ME","365","308","41","11","5",".","195","61","37",".","151","179","7","21","7"
"23007","Franklin County, ME","61","61",".",".",".",".","36","18","9",".",".",".",".",".","61"
"23009","Hancock County, ME","365","310","28","19","5","3","206","87","37",".",".","357",".","8","."
"23011","Kennebec County, ME","268","241","15","8","4",".","172","51","31",".",".","249",".",".","19"
"23013","Knox County, ME","195","159","24","7","5",".","179","84","37",".",".","165",".",".","30"
"23017","Oxford County, ME","364","349","14","1",".",".","150","43","20",".",".","177","176",".","11"
"23019","Penobscot County, ME","363","314","39","5","5",".","179","58","34",".",".","336",".","26","1"
"23023","Sagadahoc County, ME","174","143","21","5","5",".","190","87","34.5",".",".","174",".",".","."
"23029","Washington County, ME","120","115","5",".",".",".","96","42","15",".",".",".",".","120","."
"23031","York County, ME","365","312","28","10","11","4","217","64","33",".","182","183",".",".","."
"23901","MOBILE MONITORS, ME","153","114","26","6","7",".","185","93","42",".",".","153",".",".","."
