"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"36001","Albany County, NY","365","278","65","15","6","1","201","82","36","4",".","269","35","57","."
"36005","Bronx County, NY","365","153","182","22","8",".","200","96","55",".","96","55","30","184","."
"36007","Broome County, NY","110","73","32","5",".",".","130","73.5","40",".",".",".",".","110","."
"36013","Chautauqua County, NY","365","175","100","54","35","1","206","150","52",".",".","203","134","28","."
"36015","Chemung County, NY","364","291","49","20","4",".","177","80","35",".",".","328","36",".","."
"36021","Columbia County, NY","29","27","2",".",".",".","58","48","12",".",".",".",".",".","29"
"36027","Dutchess County, NY","312","230","63","10","5","4","234","75","37",".",".","248",".","64","."
"36029","Erie County, NY","365","160","105","71","26","3","208","136","58",".","64","125","130","46","."
"36031","Essex County, NY","365","264","68","20","12","1","202","97","42",".",".","332",".","33","."
"36033","Franklin County, NY","357","355","2",".",".",".","58","20","9",".",".",".",".",".","357"
"36041","Hamilton County, NY","362","312","35","12","3",".","169","58","35",".",".","355","7",".","."
"36043","Herkimer County, NY","361","327","25","8","1",".","159","49","35",".",".","352","8",".","1"
"36045","Jefferson County, NY","230","153","50","14","10","3","209","110","45",".",".","230",".",".","."
"36047","Kings County, NY","365","295","67","2","1",".","167","62","19","239",".",".",".","126","."
"36053","Madison County, NY","356","288","47","18","3",".","172","74","36",".",".","334","22",".","."
"36055","Monroe County, NY","365","241","95","17","11","1","202","87","41","4",".","199","101","61","."
"36059","Nassau County, NY","362","284","76","1","1",".","164","61","37",".","263",".","13","86","."
"36061","New York County, NY","365","177","177","10","1",".","165","81","51","1","227",".","58","71","8"
"36063","Niagara County, NY","365","263","77","9","16",".","192","90","38","4",".","254","47","60","."
"36065","Oneida County, NY","290","205","69","10","6",".","179","86.5","40",".",".","220",".","70","."
"36067","Onondaga County, NY","365","280","59","18","8",".","182","80","35","11",".","272","11","71","."
"36071","Orange County, NY","250","182","56","8","3","1","213","82","42",".",".","174",".","76","."
"36075","Oswego County, NY","35","35",".",".",".",".","38","34","28",".",".","35",".",".","."
"36079","Putnam County, NY","359","279","45","17","15","3","213","100","29",".",".","198","161",".","."
"36081","Queens County, NY","365","185","151","21","8",".","182","93","50",".","138","71","9","147","."
"36083","Rensselaer County, NY","356","284","39","19","11","3","208","97","35.5",".",".","350","6",".","."
"36085","Richmond County, NY","265","150","72","25","16","2","206","136","44",".",".","177",".","87","1"
"36089","St. Lawrence County, NY","88","68","17","2","1",".","153","68","27.5",".",".",".",".","88","."
"36091","Saratoga County, NY","267","222","30","9","6",".","192","77","35",".",".","267",".",".","."
"36093","Schenectady County, NY","365","287","61","13","4",".","200","71","33","15",".","258","32","60","."
"36101","Steuben County, NY","343","246","89","8",".",".","147","69","35",".",".",".",".","343","."
"36103","Suffolk County, NY","365","258","62","28","12","5","224","105","42",".","88","213","14","50","."
"36109","Tompkins County, NY","361","278","60","17","6",".","192","87","37",".",".","312",".","49","."
"36111","Ulster County, NY","365","294","52","18","1",".","159","77","38",".",".","358","5",".","2"
"36117","Wayne County, NY","289","241","29","10","9",".","192","71","34",".",".","289",".",".","."
"36119","Westchester County, NY","350","261","54","19","14","2","216","99","36",".",".","278",".","72","."
