"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"42001","Adams County, PA","365","157","152","42","14",".","166","119","54",".",".","193",".","172","."
"42003","Allegheny County, PA","365","59","193","88","25",".","197","137","79",".","6","57","122","177","3"
"42005","Armstrong County, PA","211","114","56","26","13","2","213","126","47",".",".","211",".",".","."
"42007","Beaver County, PA","365","87","145","111","22",".","200","135","81",".","15","87","241","22","."
"42011","Berks County, PA","365","203","116","38","7","1","201","112","48",".","88","141","60","73","3"
"42013","Blair County, PA","365","233","108","21","3",".","177","90","45",".","57","179","116",".","13"
"42017","Bucks County, PA","365","222","105","22","14","2","215","105","44",".","120","158","24","63","."
"42021","Cambria County, PA","365","195","132","33","5",".","177","101","49",".","52","138","100","60","15"
"42027","Centre County, PA","365","185","143","31","6",".","174","101","50",".",".","206",".","159","."
"42029","Chester County, PA","214","100","65","30","16","3","204","147","58",".",".","214",".",".","."
"42033","Clearfield County, PA","211","136","55","13","7",".","182","97","46",".",".","211",".",".","."
"42041","Cumberland County, PA","346","148","185","11","2",".","156","85","54",".",".",".",".","346","."
"42043","Dauphin County, PA","365","135","172","44","14",".","182","122","59",".","23","129","1","212","."
"42045","Delaware County, PA","365","216","122","17","10",".","182","90","46",".","102","138","47","74","4"
"42047","Elk County, PA","353","267","60","21","5",".","197","90","38",".",".","353",".",".","."
"42049","Erie County, PA","365","165","165","31","4",".","185","98","53","6","11","118","95","133","2"
"42055","Franklin County, PA","204","84","65","41","14",".","182","140","64",".",".","204",".",".","."
"42059","Greene County, PA","215","94","77","33","11",".","169","133","58","3",".","182","30",".","."
"42069","Lackawanna County, PA","365","185","149","24","7",".","169","91","50",".","38","129","5","192","1"
"42071","Lancaster County, PA","365","211","110","29","15",".","200","108","45",".","71","173","38","72","11"
"42073","Lawrence County, PA","365","227","109","27","2",".","195","93","43",".","56","110","152",".","47"
"42077","Lehigh County, PA","365","167","155","34","8","1","204","109","52","1","45","132","21","166","."
"42079","Luzerne County, PA","365","174","156","28","7",".","172","97","52",".","17","126","17","205","."
"42081","Lycoming County, PA","346","275","57","12","2",".","156","77","33",".",".","208","119",".","19"
"42085","Mercer County, PA","365","158","155","38","14",".","200","122","54",".",".","173","37","155","."
"42091","Montgomery County, PA","365","222","105","22","13","3","206","101","44",".","118","156","19","69","3"
"42095","Northampton County, PA","365","147","170","35","13",".","200","115","57",".","15","121","63","152","14"
"42099","Perry County, PA","364","250","80","25","9",".","197","93","38",".","67","183","46","68","."
"42101","Philadelphia County, PA","365","98","214","37","13","3","289","108","65",".","56","98","20","191","."
"42107","Schuylkill County, PA","365","345","18","2",".",".","137","41","19","4",".",".","361",".","."
"42111","Somerset County, PA","356","295","51","10",".",".","126","67","36",".",".","356",".",".","."
"42117","Tioga County, PA","212","126","55","29","2",".","151","115","48",".",".","212",".",".","."
"42123","Warren County, PA","365","167","82","95","21",".","197","130","61",".",".",".","365",".","."
"42125","Washington County, PA","365","90","198","63","14",".","185","122","66",".","5","98","153","109","."
"42129","Westmoreland County, PA","365","201","127","35","2",".","174","101","47",".","49","118","86","101","11"
"42133","York County, PA","365","207","111","40","7",".","169","108","47",".","136","142","16","69","2"
