"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","212","206","6",".",".",".","93","46","31",".",".","183",".",".","29"
"23003","Aroostook County, ME","365","328","37",".",".",".","97","51","33",".",".","237","1","81","46"
"23005","Cumberland County, ME","365","342","21","2",".",".","150","46","33",".","88","248","4","19","6"
"23009","Hancock County, ME","365","322","39","3","1",".","151","54","35",".",".","361","1","3","."
"23011","Kennebec County, ME","212","201","10","1",".",".","105","48","31",".",".","182",".",".","30"
"23013","Knox County, ME","183","169","11","3",".",".","150","48","35",".",".","183",".",".","."
"23017","Oxford County, ME","216","210","6",".",".",".","67","44","29",".",".","216",".",".","."
"23019","Penobscot County, ME","364","349","14","1",".",".","122","44","31",".",".","348",".","14","2"
"23023","Sagadahoc County, ME","183","176","7",".",".",".","97","47","34",".",".","183",".",".","."
"23029","Washington County, ME","364","354","8","2",".",".","147","45","32",".",".","359",".","5","."
"23031","York County, ME","362","338","20","3","1",".","154","47","33",".",".","362",".",".","."
