"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"42001","Adams County, PA","365","240","122","3",".",".","120","67","44",".","6","189",".","170","."
"42003","Allegheny County, PA","365","164","183","17","1",".","190","81","52",".","1","109","27","228","."
"42005","Armstrong County, PA","360","218","135","6","1",".","174","74","46",".",".","174",".","186","."
"42007","Beaver County, PA","365","210","148","6","1",".","166","71","47",".","1","163","6","195","."
"42011","Berks County, PA","365","204","149","12",".",".","141","77","48",".",".","152",".","213","."
"42013","Blair County, PA","365","218","144","3",".",".","115","68","46",".",".","122","6","237","."
"42015","Bradford County, PA","306","304","2",".",".",".","64","44","31",".","5","301",".",".","."
"42017","Bucks County, PA","365","217","134","14",".",".","128","78","45",".",".","165",".","200","."
"42021","Cambria County, PA","365","214","148","3",".",".","129","70","46",".","2","105","14","242","2"
"42027","Centre County, PA","365","278","85","2",".",".","112","62","42",".","2","220","1","142","."
"42029","Chester County, PA","365","221","141","3",".",".","113","70","46",".",".","165",".","200","."
"42033","Clearfield County, PA","347","313","34",".",".",".","97","50","36",".",".","347",".",".","."
"42041","Cumberland County, PA","364","223","132","9",".",".","135","66","44",".",".",".",".","364","."
"42043","Dauphin County, PA","365","194","162","9",".",".","139","77","48",".",".","140",".","223","2"
"42045","Delaware County, PA","365","204","156","5",".",".","119","72","48",".","6","151",".","206","2"
"42047","Elk County, PA","361","332","28","1",".",".","105","49","36",".",".","361",".",".","."
"42049","Erie County, PA","365","195","170",".",".",".","100","68","48",".","2","119",".","244","."
"42055","Franklin County, PA","344","279","61","4",".",".","115","61","40",".",".","344",".",".","."
"42059","Greene County, PA","358","323","33","2",".",".","126","50","37",".",".","337","21",".","."
"42063","Indiana County, PA","355","276","72","6","1",".","169","67","39",".",".","288","67",".","."
"42069","Lackawanna County, PA","365","273","91","1",".",".","101","64","42",".","8","217",".","140","."
"42071","Lancaster County, PA","365","205","152","8",".",".","142","74","47",".","1","165",".","199","."
"42073","Lawrence County, PA","365","333","29","3",".",".","136","50","34",".",".","319","11",".","35"
"42075","Lebanon County, PA","365","220","134","11",".",".","141","74","45",".",".","212",".","153","."
"42077","Lehigh County, PA","365","317","46","2",".",".","101","54","35",".",".","342",".",".","23"
"42079","Luzerne County, PA","365","339","25","1",".",".","108","49","33",".",".","348",".",".","17"
"42081","Lycoming County, PA","361","330","31",".",".",".","97","48","34",".",".","358",".",".","3"
"42085","Mercer County, PA","365","225","137","3",".",".","147","71","45",".",".","162",".","203","."
"42089","Monroe County, PA","365","269","95","1",".",".","101","61","40",".",".","192",".","173","."
"42091","Montgomery County, PA","365","244","115","6",".",".","115","67","42",".",".","206",".","159","."
"42095","Northampton County, PA","365","202","156","7",".",".","134","74","48",".",".","125",".","239","1"
"42099","Perry County, PA","365","329","36",".",".",".","93","50","36",".","16","349",".",".","."
"42101","Philadelphia County, PA","365","168","187","10",".",".","122","77","52",".","11","116",".","236","2"
"42111","Somerset County, PA","318","294","23","1",".",".","105","49","35",".",".","318",".",".","."
"42117","Tioga County, PA","365","326","38","1",".",".","112","51","36",".","12","353",".",".","."
"42123","Warren County, PA","364","310","43","11",".",".","136","62","14",".",".",".","364",".","."
"42125","Washington County, PA","365","196","165","4",".",".","147","71","49",".","1","115","2","247","."
"42129","Westmoreland County, PA","365","206","156","3",".",".","129","69","48",".",".","128",".","237","."
"42133","York County, PA","365","223","136","6",".",".","143","74","47",".","2","210","1","152","."
