"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","209","188","18","3",".",".","129","51","35",".",".","182",".",".","27"
"23003","Aroostook County, ME","366","326","40",".",".",".","90","51","32",".",".","226","1","107","32"
"23005","Cumberland County, ME","355","315","38","2",".",".","119","54","33",".","58","262","6","21","8"
"23009","Hancock County, ME","366","317","43","6",".",".","126","61","36","2",".","359",".","5","."
"23011","Kennebec County, ME","211","193","17","1",".",".","101","49","34",".",".","181",".",".","30"
"23013","Knox County, ME","183","171","12",".",".",".","93","47","35",".",".","183",".",".","."
"23017","Oxford County, ME","232","226","6",".",".",".","84","44","30",".",".","232",".",".","."
"23019","Penobscot County, ME","363","344","16","3",".",".","105","46","33",".",".","342",".","16","5"
"23023","Sagadahoc County, ME","142","126","13","3",".",".","105","54","35.5",".",".","142",".",".","."
"23029","Washington County, ME","352","338","14",".",".",".","80","46","32",".",".","339",".","13","."
"23031","York County, ME","362","328","29","5",".",".","133","50","35",".",".","362",".",".","."
